"","ascus.strategy","nilm.strategy","ppv.baseline.bmd","ppv.baseline.norm","ppv.repeat.bmd","ppv.repeat.norm","ppv.2nd.bmd","ppv.2nd.norm"
"1","all","all","17.8 (14.2 - 22)","4.3 (3 - 6.0)","NaN (NaN - NaN)","NaN (NaN - NaN)","26.92 (13.7 - 46.08)","25.35 (16.68 - 36.55)"
"2","all","extended","17.8 (14.2 - 22)","5.9 (4.2 - 8.3)","NaN (NaN - NaN)","5.0 (0.9 - 23.6)","26.92 (13.7 - 46.08)","25.35 (16.68 - 36.55)"
"3","all","partial","17.8 (14.2 - 22)","10.3 (7.1 - 14.7)","NaN (NaN - NaN)","6.6 (2.6 - 15.7)","26.92 (13.7 - 46.08)","25.35 (16.68 - 36.55)"
"4","all","repeat","17.8 (14.2 - 22)","NaN (NaN - NaN)","NaN (NaN - NaN)","20.5 (14.1 - 28.9)","26.92 (13.7 - 46.08)","25.35 (16.68 - 36.55)"
"5","all","extended.repeat","17.8 (14.2 - 22)","NaN (NaN - NaN)","NaN (NaN - NaN)","23.9 (16.4 - 33.6)","26.92 (13.7 - 46.08)","25.35 (16.68 - 36.55)"
"6","extended","extended","21.9 (17.5 - 27.1)","5.9 (4.2 - 8.3)","15.6 (6.9 - 31.8)","5.0 (0.9 - 23.6)","26.92 (13.7 - 46.08)","25.35 (16.68 - 36.55)"
"7","extended","partial","21.9 (17.5 - 27.1)","10.3 (7.1 - 14.7)","15.6 (6.9 - 31.8)","6.6 (2.6 - 15.7)","26.92 (13.7 - 46.08)","25.35 (16.68 - 36.55)"
"8","extended","repeat","21.9 (17.5 - 27.1)","NaN (NaN - NaN)","15.6 (6.9 - 31.8)","20.5 (14.1 - 28.9)","26.92 (13.7 - 46.08)","25.35 (16.68 - 36.55)"
"9","extended","extended.repeat","21.9 (17.5 - 27.1)","NaN (NaN - NaN)","15.6 (6.9 - 31.8)","23.9 (16.4 - 33.6)","26.92 (13.7 - 46.08)","25.35 (16.68 - 36.55)"
"10","partial","partial","28.1 (21.7 - 35.5)","10.3 (7.1 - 14.7)","20.4 (13.5 - 29.7)","6.6 (2.6 - 15.7)","26.92 (13.7 - 46.08)","25.35 (16.68 - 36.55)"
"11","partial","repeat","28.1 (21.7 - 35.5)","NaN (NaN - NaN)","20.4 (13.5 - 29.7)","20.5 (14.1 - 28.9)","26.92 (13.7 - 46.08)","25.35 (16.68 - 36.55)"
"12","partial","extended.repeat","28.1 (21.7 - 35.5)","NaN (NaN - NaN)","20.4 (13.5 - 29.7)","23.9 (16.4 - 33.6)","26.92 (13.7 - 46.08)","25.35 (16.68 - 36.55)"
"13","repeat","repeat","NaN (NaN - NaN)","NaN (NaN - NaN)","32.6 (26.2 - 39.7)","20.5 (14.1 - 28.9)","26.92 (13.7 - 46.08)","25.35 (16.68 - 36.55)"
"14","repeat","extended.repeat","NaN (NaN - NaN)","NaN (NaN - NaN)","32.6 (26.2 - 39.7)","23.9 (16.4 - 33.6)","26.92 (13.7 - 46.08)","25.35 (16.68 - 36.55)"
