,ascus.strategy,nilm.strategy,NPV.1st.round,NPV.two.rounds
1,all,all,NaN (NA - NA),NaN (NA - NA)
2,all,extended,100.0 (100.0 - 100.0),98.0 (96.7 - 99.3)
3,all,partial,99.8 (99.4 - 100.0),96.4 (95.1 - 97.6)
4,all,repeat,98.7 (98.1 - 99.3),94.3 (93.0 - 95.6)
5,all,extended.repeat,98.6 (97.9 - 99.3),94.2 (92.9 - 95.5)
6,extended,extended,100.0 (100.0 - 100.0),98.1 (96.8 - 99.3)
7,extended,partial,99.8 (99.5 - 100.0),96.5 (95.3 - 97.7)
8,extended,repeat,98.8 (98.1 - 99.4),94.5 (93.3 - 95.8)
9,extended,extended.repeat,98.7 (98.0 - 99.3),94.3 (93.1 - 95.6)
10,partial,partial,99.5 (99.0 - 99.9),96.2 (95.0 - 97.5)
11,partial,repeat,98.6 (97.9 - 99.2),94.4 (93.2 - 95.6)
12,partial,extended.repeat,98.5 (97.9 - 99.1),94.2 (93.0 - 95.5)
13,repeat,repeat,98.3 (97.6 - 99.0),93.3 (92.0 - 94.6)
14,repeat,extended.repeat,98.2 (97.5 - 98.9),93.2 (92.0 - 94.5)
