"","ascus.strategy","nilm.strategy","baseline.rate","repeat.rate","second.round.rate","overall.hpv.rate","first.round.rate","baseline.diff","first.round.diff","second.round.diff"
"14","repeat","extended.repeat","0 (0 - 0)","24.6 (21.5 - 28)","22.6 (18.1 - 27.4)","47.2 (41.7 - 53)","24.6 (21.5 - 28)","-20.3 (-23 - -17.8)","-11.4 (-16.3 - -6.5)","-6.9 (-14.9 - 1.1)"
"12","partial","extended.repeat","8.3 (6.6 - 10.2)","19 (16.2 - 21.9)","21.8 (17.4 - 26.5)","49.1 (43.5 - 54.9)","27.3 (24 - 30.8)","-12 (-15.2 - -8.9)","-8.7 (-13.8 - -3.7)","-5.1 (-13.1 - 2.9)"
"13","repeat","repeat","0 (0 - 0)","27.4 (24.1 - 30.9)","20.3 (15.9 - 25)","47.7 (42.2 - 53.5)","27.4 (24.1 - 30.9)","-20.3 (-23 - -17.8)","-8.6 (-13.6 - -3.6)","-6.4 (-14.4 - 1.6)"
"9","extended","extended.repeat","14.8 (12.6 - 17.2)","15.2 (12.7 - 17.9)","21 (16.7 - 25.6)","51 (45.5 - 56.8)","30 (26.6 - 33.6)","-5.5 (-9 - -2)","-6 (-11.1 - -0.9)","-3.1 (-11.1 - 4.8)"
"11","partial","repeat","8.3 (6.6 - 10.1)","21.8 (18.8 - 24.9)","19.5 (15.3 - 24.1)","49.5 (44 - 55.3)","30 (26.6 - 33.7)","-12.1 (-15.2 - -8.9)","-6 (-11.1 - -0.8)","-4.6 (-12.6 - 3.4)"
"8","extended","repeat","14.7 (12.5 - 17.1)","18 (15.3 - 21)","18.7 (14.6 - 23.2)","51.5 (46 - 57.3)","32.7 (29.2 - 36.5)","-5.6 (-9.1 - -2.1)","-3.3 (-8.4 - 1.9)","-2.6 (-10.6 - 5.3)"
"5","all","extended.repeat","20.5 (18 - 23.2)","12.8 (10.5 - 15.3)","20.4 (16.2 - 24.9)","53.7 (48.2 - 59.4)","33.3 (29.8 - 37)","0.2 (-3.5 - 3.9)","-2.7 (-7.8 - 2.5)","-0.4 (-8.4 - 7.5)"
"4","all","repeat","20.3 (17.8 - 23)","15.7 (13.1 - 18.4)","18.1 (14 - 22.5)","54.1 (48.6 - 59.9)","36 (32.4 - 39.8)","0 (-3.7 - 3.7)","0 (-5.2 - 5.3)","0 (-8 - 8)"
"10","partial","partial","35.9 (32.6 - 39.4)","14.7 (12.2 - 17.5)","12.3 (8.9 - 16.2)","63 (57.5 - 68.8)","50.7 (46.5 - 55)","15.6 (11.3 - 19.9)","14.7 (9 - 20.4)","8.9 (1 - 16.9)"
"7","extended","partial","42.4 (38.7 - 46.2)","11 (8.8 - 13.4)","11.5 (8.2 - 15.3)","64.9 (59.4 - 70.7)","53.4 (49.1 - 57.8)","22 (17.5 - 26.6)","17.4 (11.7 - 23.1)","10.8 (2.9 - 18.8)"
"3","all","partial","48 (44.2 - 52)","8.6 (6.7 - 10.8)","10.9 (7.7 - 14.6)","67.6 (62.1 - 73.3)","56.6 (52.3 - 61.1)","27.7 (23 - 32.4)","20.6 (14.9 - 26.4)","13.5 (5.6 - 21.4)"
"6","extended","extended","70.1 (66.1 - 74.1)","5.3 (3.8 - 7.1)","5.9 (3.6 - 8.6)","81.3 (76.4 - 86.3)","75.4 (71.2 - 79.7)","49.8 (45 - 54.5)","39.4 (33.7 - 45.1)","27.2 (19.6 - 34.6)"
"2","all","extended","75.7 (71.6 - 79.9)","2.9 (1.8 - 4.3)","5.2 (3.1 - 7.8)","83.9 (79 - 88.9)","78.7 (74.4 - 83)","55.4 (50.5 - 60.3)","42.7 (37 - 48.3)","29.8 (22.2 - 37.2)"
"1","all","all","100 (96.3 - 103.7)","0 (0 - 0)","0 (0 - 0)","100 (96.3 - 103.7)","100 (96.3 - 103.7)","79.7 (75.1 - 84.2)","64 (58.7 - 69.2)","45.9 (39.1 - 52.5)"
