"","ascus.strategy","nilm.strategy","ppv.baseline.bmd","ppv.baseline.norm","ppv.repeat.bmd","ppv.repeat.norm","ppv.2nd.bmd","ppv.2nd.norm"
"1","all","all","30.8 (26.3 - 35.6)","8.5 (6.7 - 10.8)","NaN (NaN - NaN)","NaN (NaN - NaN)","33.8 (23.88 - 45.38)","53.85 (35.46 - 71.24)"
"2","all","extended","30.8 (26.3 - 35.6)","11.5 (9 - 14.6)","NaN (NaN - NaN)","15.0 (5.2 - 36)","33.8 (23.88 - 45.38)","53.85 (35.46 - 71.24)"
"3","all","partial","30.8 (26.3 - 35.6)","17.1 (12.9 - 22.2)","NaN (NaN - NaN)","24.6 (15.5 - 36.7)","33.8 (23.88 - 45.38)","53.85 (35.46 - 71.24)"
"4","all","repeat","30.8 (26.3 - 35.6)","NaN (NaN - NaN)","NaN (NaN - NaN)","37.5 (29.1 - 46.7)","33.8 (23.88 - 45.38)","53.85 (35.46 - 71.24)"
"5","all","extended.repeat","30.8 (26.3 - 35.6)","NaN (NaN - NaN)","NaN (NaN - NaN)","42.4 (32.8 - 52.6)","33.8 (23.88 - 45.38)","53.85 (35.46 - 71.24)"
"6","extended","extended","36.4 (31 - 42.1)","11.5 (9 - 14.6)","37.5 (22.9 - 54.8)","15.0 (5.2 - 36)","33.8 (23.88 - 45.38)","53.85 (35.46 - 71.24)"
"7","extended","partial","36.4 (31 - 42.1)","17.1 (12.9 - 22.2)","37.5 (22.9 - 54.8)","24.6 (15.5 - 36.7)","33.8 (23.88 - 45.38)","53.85 (35.46 - 71.24)"
"8","extended","repeat","36.4 (31 - 42.1)","NaN (NaN - NaN)","37.5 (22.9 - 54.8)","37.5 (29.1 - 46.7)","33.8 (23.88 - 45.38)","53.85 (35.46 - 71.24)"
"9","extended","extended.repeat","36.4 (31 - 42.1)","NaN (NaN - NaN)","37.5 (22.9 - 54.8)","42.4 (32.8 - 52.6)","33.8 (23.88 - 45.38)","53.85 (35.46 - 71.24)"
"10","partial","partial","41.9 (34.5 - 49.6)","17.1 (12.9 - 22.2)","43 (33.4 - 53.1)","24.6 (15.5 - 36.7)","33.8 (23.88 - 45.38)","53.85 (35.46 - 71.24)"
"11","partial","repeat","41.9 (34.5 - 49.6)","NaN (NaN - NaN)","43 (33.4 - 53.1)","37.5 (29.1 - 46.7)","33.8 (23.88 - 45.38)","53.85 (35.46 - 71.24)"
"12","partial","extended.repeat","41.9 (34.5 - 49.6)","NaN (NaN - NaN)","43 (33.4 - 53.1)","42.4 (32.8 - 52.6)","33.8 (23.88 - 45.38)","53.85 (35.46 - 71.24)"
"13","repeat","repeat","NaN (NaN - NaN)","NaN (NaN - NaN)","53.6 (46.3 - 60.7)","37.5 (29.1 - 46.7)","33.8 (23.88 - 45.38)","53.85 (35.46 - 71.24)"
"14","repeat","extended.repeat","NaN (NaN - NaN)","NaN (NaN - NaN)","53.6 (46.3 - 60.7)","42.4 (32.8 - 52.6)","33.8 (23.88 - 45.38)","53.85 (35.46 - 71.24)"
