,ascus.strategy,nilm.strategy,NPV.1st.round,NPV.two.rounds
1,all,all,NaN (NA - NA),NaN (NA - NA)
2,all,extended,99.5 (98.8 - 100.0),95.5 (93.5 - 97.5)
3,all,partial,99.0 (98.3 - 99.7),93.0 (91.2 - 94.7)
4,all,repeat,96.8 (95.8 - 97.7),90.0 (88.4 - 91.7)
5,all,extended.repeat,96.4 (95.4 - 97.4),89.6 (87.9 - 91.3)
6,extended,extended,99.3 (98.6 - 100.0),95.2 (93.3 - 97.1)
7,extended,partial,99.0 (98.3 - 99.6),93.0 (91.3 - 94.7)
8,extended,repeat,96.9 (95.9 - 97.8),90.3 (88.7 - 91.9)
9,extended,extended.repeat,96.5 (95.5 - 97.5),89.8 (88.1 - 91.4)
10,partial,partial,98.2 (97.4 - 99.1),91.9 (90.2 - 93.6)
11,partial,repeat,96.4 (95.4 - 97.4),89.6 (87.9 - 91.2)
12,partial,extended.repeat,96.1 (95.0 - 97.1),89.1 (87.5 - 90.8)
13,repeat,repeat,95.9 (94.8 - 96.9),88.4 (86.8 - 90.1)
14,repeat,extended.repeat,95.5 (94.5 - 96.6),88.1 (86.4 - 89.8)
